а именно|as follows
с модуляцией|&modulation-type
с момента подписания|on the date hereof
с момента получения|from receipt of
с мультиплексированием данных|&dataplex
с нависшими бровями|&beetle-browed
с наилучшими пожеланиями|with best wishes
с наступлением темноты|at nightfall
с натуры|from nature
с нашей точки зрения|in our view
с небольшим превышением|at a shade in excess of
с невыплаченными комиссионными|&noncommissioned
с некоторой оговоркой|with some reserve
с нетерпением ждать|long for
с нетерпением|anxiously
с низким вырезом|&low-cut
с низким разрешением|&low-resolution
с общего согласия|by common consent of
с оговорками|&claused
с ограниченной полосой|&band-limited
с ограниченным контекстом|&bounded-context
с ограниченным сроком использования|&semi-durable
с одним источником|&unisource
с одной записью|&unirecord
с одной стороны|on the one hand
с односторонним движением|&one-way
с оплатой только наличными|&cash-only basis
с оплаченной пошлиной|&duty-paid
с оплаченными почтовыми расходами|&postpaid
с опозданием|behindhand
с остановами при ошибках|&failstop
с открытым ртом|open-mouthed
с первого взгляда|at a glance
с перепончатыми лапами|&web-footed
с повторным автовключением|&autoreclose
с подсветкой от светодиода|&led-iluminated
с подсветкой|&lighted
с позолоченными контактами|&gold-plated
с поличным|red-handed
с полным набором функциональных возможностей|&full-range
с помощью электроники|electronically
с помощью|by means of
с пониманием|intelligently
с последовательным портом|&serial-port
с правом получения расписки|subject to receipt
с предварительно размеченными дорожками|&pregrooved
с программным управлением|&software-controlled
с прогрессивной разверткой|&noninterlaced
с произвольной выборкой|&random access
с промежутками|at intervals
с простым включением в сеть|&plug-and-play
с прямой передачей|&baseband
с пылу|piping hot
с распростертыми объятиями|with open arms
с русского на английский|&russian to english
с ручным управлением|&manned
с самовосстановлением|&self-recovery
с самого начала|from the very beginning
с самозапуском|&self-triggering
с самоконтролем|&self-monitoring
с сервоприводом|&servodriven
с сердечным приветом|with kind regards
с сетевой структурой|&networked
с сильной связью|&tightly-coupled
с согласия|with the consent of
с сожалением|with regret
с таким количеством|with so many
с тех пор как|for the first time since
с тех пор|thereafter;since then
с течением времени|in the course of time
с того времени , когда|from the time at which
с того времени|thenceforward
с точки зрения трансляции|translationally
с точностью в пределах|accurate within
с точностью до знака|except for sign
с точностью до|accurate to
с тремя состояниями|&three-state
с тремя устойчивыми состояниями|&three-stable
с треугольным вырезом|&v-neck
с трудом|by a narrow margin
с уважением|respectfully yours
с успехом|to advantage
с участием человека|&human-aided
с учетом|with provision for
с целью получения|wtoachieve
с целью|for the reason
с центральным офисом|&headquartered
с цифровым управлением|&digitally controlled
с четвертью|quarter past
с широко раскрытыми глазами|&wide-eyed
с этого момента|at this point of time
с этой точки до|from this point to
с этой точки зрения|with this view
с этой целью|for this purpose
с юго-запада|southwesterly
с.-петербург|st. petersburg
с|with
са|sa
саа|saa
саам|lapp
саамский|lapp
сабля|sabre
саботаж|sabotage
саботажник|saboteur
саботировать|sabotage
саванна|savannah
савой|savoy
сага|saga
сад|garden
саджно|saginaw
садизм|sadism
садист|sadist
садистский|sadistic
садиться на корабль|embark
садиться на насест|roost
садиться|sit
садовник|gardener
садовод|horticulturist
садоводство|horticulture
садоводческий|horticultural
садовый овсянка|ortolan
садовый|garden
сажа|smut
сажать|put;plant
сайгон|saigon
сакраменто|sacramento
сакс|saks
саксонский|saxon
саксофон|saxophone
сал|sal
салаам|salaam
салазки|toboggan
саламандра|salamander
салат из капусты|coleslaw
салат|salad
салатница|salad bowl
салем|salem
салина|salina
сало|fat
саломон|salomon
салон|salon
салон-вагон|parlor car
салонный разговор|small talk
салонный|salon
салтин|saltine
салфетка|napkin
сальвадор|salvador
сальдо|nbalance
сальмонелла|salmonella
сальность|profanity
сальный железа|sebaceous gland
сальный|greasy;dirty(непристойный)
сальто|nsomersault
салют|salute
салями|nsalami
сам в себя|onto itself
сам по себе|itself
сам себе|wtoitself
сам себя|themselves
сам|мitself;himself
самара|samara
самарий|samarium
самец косули|roebuck
самец|male
самиан|samian
самим себе|wtothemselves
самим|мitself;p)himself
самими|мthemselves
самих|мthemselves
самка|female
саммерсвилль|summersville
самна|samna
само собой разумеется|it goes without saying
само собой разумеющееся|granted
самоа|samoa
самоанализ|self-awareness
самоблокировка|antilockup
самовар|samovar
самовнушение|autosuggestion
самовозбуждение|self-excitation
самовозгорание|spontaneous combustion
самовольный отлучка|absence without leave
самовольный|self-willed
самовоспроизведение|self-reproduction
самовосстанавливаемость|self-restorability
самовосстанавливающийся|self-repair
самого лучшего качества|of the choisest brand
самогон|home-brew
самодвойственный|self-dual
самодеятельность|amateur performances
самодеятельный спектакль|amateur theatrical
самодеятельный|amateur
самодиагностируемый|self-diagnosable
самодисциплина|self-discipline
самодовольный|self-complacent
самодовольство|self-satisfaction
самодокументирование|self-documentation
самодокументируемость|self-descriptiveness
самое большее|at most
самое раннее|earliest
самозагрузка|self-loading
самозарождение|spontaneous generation
самозащита|self-defense
самозванный|self-styled
самоинициализация|self-initializing
самой себе|wtoitself
самокат|scooter
самоконтролирующийся|self-checking
самоконтроль|self-verification
самокорректирующийся|self-correcting
самокритика|self-criticism
самокритичный|self-critical
самолет|plane
самолет-корректировщик|spotter plane
самолюбие|pride
самомаскирование|self-masking
самомнение|conceit
самомодифицирующийся|self-modifying
самому себе|wtoitself
самонадеянность|over-confidence
самонадеянный|presumptuous
самоназвание|self-designation
самонастраивающийся|self-tuning
самонастройка|self-tuning
самообладание|self-confident-control
самообман|self-deception
самообслуживание|self-service
самообучающийся|self-training
самообучение|self-training
самоокупаемость|self-sufficiency
самоопределение|self-determination
самоопределяемый|self-defining
самооптимизирующийся|self-optimizing
самоорганизующийся|self-organizing
самоориентирующийся|self-orienting
самоотверженность|selflessness
самоотверженный|selfless
самоотречение|self-denial
самопаркирующийся|self-parking
самопереключающийся|self-switching
самописец|grapher
самопишущий|self-recording
самопожертвование|self-sacrifice
самопрерывание|self-interrupting
самопрограммирующийся|autoprogrammable
самопуск|self-starter
саморегулирование|self-regulation
саморефлексивность|self-reflectiveness
самородок|nugget
самосвал|dump truck
самосинхронизация|self-clocking
самосожжение|self-immolation
самосохранение|self-preservation
самостоятельно|by itself
самостоятельность|independance
самостоятельный|independent
самострел|crossbow
самотеком|to drift;by gravity
самоубийственный|suicidal
самоубийство|suicide
самоуважение|self-respect
самоуверенность|self-confidence
самоуверенный|self-confident
самоуничтожение|self-destruction
самоуправление|home rule
самоуправляемый|self-controlled
самоуправляющийся|self-governing
самоучка|self-taught
самофинансирование|self-financing
самоходный|selfpropelled
самсунг|samsung
саму|мitself;p)herself
самурай|samurai
самый большой|largest
самый быстрый|fastest
самый верхний|uppermost
самый дальний|furthest
самый длинный|longest
самый задний|hindmost
самый западный|westernmost
самый затяжной|longest sustained
самый конец|tag end
самый короткий|shortest
самый крайний|outermost
самый левый|leftmost
самый нижний|bottom
самый низкий|lowest
самый отдаленный|uttermost
самый популярный|most popular
самый последний|most current
самый правый|rightmost
самый прибыльный|most lucrative
самый простой|simplest
самый северный|northernmost
самый старший|eldest
самый странный|oddest
самый суть|sum and substance
самый теплый|warmest
самый южный|southernmost
самый ясный|clearest
самый|the most
самэко|sameko
сан епископа|bishopric
сан салвадор|san salvador
сан фернандо|san fernando
сан хосе|san jose
сан хуан|san juan
сан|san
санаторий|sanitarium
сандалия|sandal
сандаловый дерево|sandalwood
сандаловый|sandal
сандаль|sandal
сандвич|sandwich
сандерс|sanders
сан-диего|san diego
сандра|sandra
сандуски|sandusky
сани|sleigh
санирование|saning
санитар|stretcher-bearer
санитария|sanitation
санитарный оборудование|sanitary
санитарный самолет|ambulance airplane
санитарный|sanitary
санкт|sankt
санкт-петербург|saint petersburg
санкт-петербургский|sankt-petersburg
санкционирование|approbation;sanction
санкционированный|authorized
санкционировать|approbate
санкция|sanction
санскрит|sanskrit
сант|sante
санта фэ|santa fe
санта|santa
сантехнический арматура|plumbing
сантехнический|sanitary
санти|santee
сантиграмм|centigram
сантим|centime
сантиметр|centimetre
санто домино|santo domino
санто|santo
сантъяго|santiago
сан-франциско|san francisco
сао поло|sao paulo
сао|sao
сап|glanders
сапер|sapper
саперный|engineer
сапожник|shoemaker
сапожный крем|shoe polish
сапожный|shoe
саппоро|sapporo
сапр|cad
сапсан|peregrine falcon
сапулпа|sapulpa
сапфир|saphire
сапфировый|saphire
сарай|shed
сарант|sarant
саранча|locust
сарасота|sarasota
саратов|saratov
саратога|saratoga
сардина|sardine
сардонический|sardonic
саржа|serge
саржевый|serge
сарказм|sarcasm
саркастически|sarcastically
саркастический|sarcastic
саркофаг|sarcophagus
сарма|sarma
сарыч|buzzard
сас|sas
саскатун|saskatoon
саскачеван|saskatchewan
сасун|sasoon
сатана|satan
сатанинский|satanic
сатанический|satanic
сатин|sateen
сатиновый|sateen
сатир|satyr
сатира|satire
сатирик|satirist
сатирический|satirical
сатрап|satrap
сатрапия|satrapy
сатурн|saturn
саудовский|saudi
сафари|nsafari
сафьян|morocco
сафьяновый|morocco
сахалин|sakhalin
сахар|sugar
сахара|sahara
сахарин|saccharin
сахариновый|saccharine
сахаристый|sugary
сахарница|sugar bowl
сахарный завод|sugar refinery
сахарный песок|granulated sugar
сахарный пудра|powdered sugar
сахарный|sugar
сахароза|sucrose
саша|sasha
сбавлять тон|wpipe down
сбавлять|reduce
сбалансированный план|balanced design
сбалансированный|balanced
сберегательный банк|savings bank
сберегательный книжка|passbook
сберегательный|savings
сберегать|save
сбережение на черный день|nest egg
сбережение|saving
сберкасса|savings-bank
сберкнижка|savings-book
сбивать с дороги|misdirect
сбивать с ног|knockdown
сбивать с пути истинного|wlead astray
сбивать с толку|wbowl out
сбивать самолет|whit the plane
сбивать|underbide(цену)
сбиваться с ритма|wmiss the beat
сбиваться|lose
сбивчивый|muddled
сбис|vlsi
сближать|approach
сближаться|approach
сближение|rapprochement
сбой в линии|line-out
сбой|malfunction
сбоку|from the side
сболтнуть|blurt
сбор данных|data acceptance
сбор новостей|news-retrieval
сбор остаточных данных|scavenging
сбор|collection;gathering;dues
сборка|assembly
сборник религиозных гимнов|hymnal
сборник|collection
сборный дом|prefabricated house
сборный|assembly
сборочный конвейер|assembly line
сборочный чертеж|assembly drawing
сборочный|adjustment
сборщик долгов|debt collector
сборщик налогов|tax collector
сборщик|picker
сборы|dues
сбрасывать со счета|wreckon off
сбрасывать|throw
сброд|riffraff
сброс|unset
сброшенный|discarded
сбывать|sell
сбываться|come true
сбыт|marketing;sales
св.|st.
свадебный|wedding
свадьба|wedding
свайный|pile
сваливать с ног|wbowl over
сваливать|dump
свалка|scramble
сваривать|weld
сварка|welding
сварливый|peevish
сварной|welded
сварочный железо|wrought iron
сварочный|welding
свастика|swastika
сваха|matchmaker
свая|pile
свга|svga
сведение|information
сведения|information
сведущий|well-informed
свежевыпеченный|freshly baked
свежесть|freshness
свежий белье|fresh linen
свежий воздух|fresh air
свежий|fresh
свекла|beet
свекольный|beet
свекор|father-in-law
свекровь|mother-in-law
свергать|subvert
свержение|dethronement
сверка|revise
сверкать|sparkle;glare
сверлильный патрон|drill chuck
сверлильный|drill
сверлить|drill
сверло|drill
сверлящий|gnawing
свернутый|convolute
сверстник|peer
свертка|folding
свертывание|rolling up;coagulation
свертывать производство|wfase out production
свертывать|rollДup
свертываться|convolve
сверх меры|above measure
сверх нормы|over-capacity
сверх ожидания|beyond expectation
сверх|over
сверхактивность|over-activity
сверхбольшой|very-large-scale
сверхбыстродействующий|very-high-speed
сверхвысоконадежный|super-reliable
сверхдальний|transhorizon
сверхдержава|superpower
сверхзвуковой хлопок|sonic boom
сверхзвуковой|supersonic
сверхкомпактный|supercompact
сверхкритический|supercritical
сверхминиатюрный|subminiature
сверхнадежный|ultrareliable
сверхоперативный|scratchpad
сверхплановый запас|stock above the plan
сверхплановый прибыль|above-plan profit
сверхплановый|above-plan
сверхпоставка|excess delivery
сверхприбыль|excess profit
сверхпроводимость|superconductivity
сверхпроводник|superconductor
сверхпроводниковый|superconductive
сверху вниз в|from top to bottom of
сверху вниз|from top to bottom
сверху|overhand;from above
сверхурочно|overtime
сверхурочный время|overtime
сверхурочный работа|non-official hours
сверхустойчивость|ultrastability
сверхчеловеческий|superhuman
сверхчисло|bignum
сверхчувствительный|supersensitive
сверхъестественный|unholy
сверчок|cricket
свершение|fulfilment
сверять с|wcheckagainst
сверять со|wcheckagainst
сверять|check
свет звезд|starlight
свет рампы|limelight
свет свечи|candlelight
свет|light
светило|luminary
светить|shine
светиться|glow
светловолосый|light-haired
светло-коричневый|tawny
светлость|lordship
светлый будущее|bright future
светлый день|bright day
светлый|light
светляк|glowworm
светлячок|firefly
световой люк|skylight
световой перо|lightpen
световой полоса|highlight bar
световой сигнал опасности|danger light
световой сигнализация|warning light
световой|light
светодиод|led
светонепроницаемый|lightproof
светофор|traffic light
светоч|luminary
светочувствительность|actinism
светочувствительный|photosensitive
светский|mundane
светящийся|luminous
свеча зажигания|spark plug
свеча|candle;tech)plug
свечение|phosphorescence
свечка|candle;med)suppository
свивальник|swaddling clothes
свивать|wreathe
свидетель|witness
свидетельский|witness
свидетельство о браке|marriage license
свидетельство о рождении|birth certificate
свидетельство об испытании|test certificate
свидетельство|certificate
свидетельствовать о|wbe indicativeof
свидетельствовать|witness
свидетельствующий|testifying
свинарник|sty
свинг|swing
свинец|lead
свинина|pork
свинка|mumps
свиной кожа|pigskin
свиной отбивная|pork chop
свиной ребро|sparerib
свиноматка|sow
свинопас|swineherd
свинский|swinish
свинцовый белила|white lead
свинцовый сурик|red lead
свинцовый|leaden
свинья|pig;swine
свирепость|ferocity
свирепый буря|violent storm
свирепый зверь|savage beast
свирепый|ferocious
свиристель|waxwing
свисать|droop
свист|whistle
свистеть|whistle
свисток|whistle
свистун|whistler
свита|retinue
свитер|sweater
свифт|swift
свищ|flaw;knothole;med)fistula
свиязь|widgeon
свобода действий|leeway
свобода печати|freedom of the press
свобода слова|freedom of speech
свобода собраний|freedom of assembly
свобода совести|freedom of religion
свобода|liberty
свободно конвертируемый валюта|hard currency
свободно конвертируемый|freely convertible
свободно перемещаемый|free-floating
свободно|liberally
свободного формата|&free-form
свободно-конвертируемый валюта|hard currency
свободно-конвертируемый|freely convertible
свободный для|wfreefor
свободный доступ|free access
свободный запас|free float
свободный земля|vacant lot
свободный зона|free zone
свободный любовь|free love
свободный объединение|free union
свободный от ошибок|&error free
свободный от помех|&unjammed
свободный от потерь|&lossless
свободный от|wfreefrom
свободный падение|free fall
свободный память|free-memory
свободный предложение|free offer
свободный предпринимательство|free enterprise
свободный программный пространство|free space software
свободный|free;vacant
свободолюбивый|freedom-loving
свободомыслящий|broad-minded
свод|code;collection;bld)arc
сводимость|reducibility
сводить вместе|wbring together
сводить до минимума|wreduce to the minimum
сводить к нулю|wbring to naught
сводить к простой формуле|wreduce to a simple formula
сводить|reduce;cramp(судорогой)
сводник|panderer
сводный брат|half brother
сводный сестра|half sister
сводный|consolidated
сводчатый крыша|vaulted roof
сводчатый проход|archway
сводчатый|vaulted
свое|its
своевременно|in good time
своевременность|timeliness
своевременный доставка|due delivery
своевременный|well-timed
своего рода|sort of
своекорыстный|self-seeking
свои|their own
свой собственный|own
свой|its
свойственник|in-law
свойственный|characteristic;peculiar to
свойство|characteristic
сволочь|bastard
свопинг|swapping
сворачивать|move
сворачиваться|wrap around
своя|its
свояк|brother-in-law
свояченица|sister-in-law
свыше|over
связанность|relatedness
связанный переменная|apparent variable
связанный с владельцем|linked to owner
связанный с применением компьютеров|computer related
связанный с применением эвм|computer-related
связанный с|wconnectedwith
связанный со|wconnectedwith
связанный|bound
связанных с|in accordance with
связка|ligament;bundle
связность|coherence;linkedness
связный|coherent
связующий звено|connecting-link
связующий|connecting
связывание|collecting
связывать в узел|bundle
связывать с|winvolvewith
связывать со|winvolvewith
связывать язык|tongue-tie
связывать|link;comp)interface;band
связываться с|wget in touchwith
связываться со|wget in touchwith
связываться|link
связь|relationship;comm)communication
святейшество|holiness
святилище|sanctuary
святки|yule
свято соблюдать|scrupulouslyobserve
свято|reverently
святой вода|holy water
святой дух|holy ghost
святой истина|gospel truth
святой святых|wholy of holies
святой|saint
святой-покровитель|patron saint
святость|sanctity
святотатство|sacrilege
святыня|shrine
священник|priest
священнический|sacerdotal
священный писание|holy scripture
священный союз|holy alliance
священный|holy
сгенерированный|generated
сгиб|bend
сгибать|bend;fold;bow
сглаживание|smoothing
сглазить|whammy
сгнивший|rotted
сговариваться|arrange
сговор|collusion
сговорчивый|tractable
сгорание|combustion
сгорать от нетерпения|wchomp at the bit
сгорать|burn
сгребать|shovel
сгусток крови|blood clot
сгусток энергии|wbundle of energy
сгусток|clot
сгущаться|thicken
сгущенный молоко|evaporated milk
сгущенный|condensed
сдавать в наем|whire out
сдавать экзамен|wtake an examination
сдавать|deliver
сдаваться|surrender;yield(уступать)
сдача внаем|leasing
сдача объекта|commissioning the project
сдача по частям|delivery by inetalments
сдача|delivery(передача);change(деньги);surrender
сдваивание|twinning
сдвиг строк|rollup
сдвиг|shift
сдвигать|shift
сдвиговый|shift
сдвоенный транзистор|twinster
сдвоенный|two-set
сделанный без подготовки|off-hand
сделанный на заказ|made-to-order
сделанный наспех|rough-and-ready
сделанный со вкусом|tasteful
сделанный украдкой|stealthy
сделанный|made
сделка за наличные деньги|cash bargain
сделка на наличный товар|spot bargain
сделка на|wcontractfor
сделка|deal;bargain;transaction
сдельный работа|piecework
сдельный|piece-work
сдельщик|pieceworker
сдержанно|in a reserved manner
сдержанность|self-restraint
сдержанный|reserved
сдерживать|restrain
сдерживаться|control
сдерживающий средство|deterrence
сдобный пирог|pound cake
сдобный|rich
сдр|sdr
сдувать|blowoДff
се|se
сеанс связи|communication link
сеанс|session
сеансовый|session
себестоимость|prime cost
себу|cebu
себя самого|myself
себя|itself;myself;himself;herself
себялюбивый|self-centred
север|north
северно-западный|northwest
северный ледовитый|arctic
северный олень|reindeer
северный полюс|north pole
северный полярный круг|arctic circle
северный сияние|northern lights
северный|north
северо-восток|northeast
северо-восточный|northeasterly
северо-запад|northwest
северо-западный|northwest
северянин|snowbird
севиер|sevier
сегмент|segment
сегментация|segmenting
сегментированный|segmented
сегментировать|segment
сегментный|segment
сегнетоэлектрик|ferroelectric
сегнетоэлектрический|ferroelectric
сегодня вечером|tonight
сегодня утром|this morning
сегодня|today
сегодняшнего числа|of this date
сегодняшний|present-day
сегрегировать|sequester
сегундо|segundo
седалищный|sciatic
седан|sedan
седар|cedar
седарбург|cedarburg
седельный мастер|saddler
седельный|saddle
седиль|cedilla
седлать|saddle
седло|saddle
седоволосый|gray-haired
седой|grey
седро|sedro
седьмой небо|seventh heaven
седьмой|seventh
сезон|season
сезонный|seasonal
сейко|seiko
сейнт|saint
сейсмический|seismic
сейсмограф|seismograph
сейсмолог|seismologist
сейсмологический|seismological
сейсмология|seismology
сейф|safe
сейчас же|here and now
сейчас|presently
сейшельский остров|seychelle
сек|sec
секал|cecal
секам|secam
секанс|secant
секвестр|sequester
секвин|sequin
секвойя|sequoia
секира|poleaxe
секос|cecos
секрет|secret
секретариат|secretary
секретарский|secretarial
секретарша|receptionist
секретарь компании|wsecretary of the company
секретарь корпорации|wsecretary of the corporation
секретарь собрания|wsecretary of the meeting
секретарь|secretary
секретно|secretly
секретность|secrecy
секретный|secret
секреция|secretion
секс|sex
сексист|sexist
секстант|sextant
секстет|sextette
сексуальность|sexuality
сексуальный|sexual
секта|sect
сектантский|sectarian
сектантство|sectarianism
сектор|sector
секторный|sectoral
секуляризация|secularization
секуляризировать|secularize
секунда|second
секундомер|stopwatch
секущая|secant
секционирование|sectioning
секция|section
селезень|drake
селейнис|celanese
селектировать|select
селектор|selector
селекторный|selector
селектрон|selectron
селен|selenium
селенит|selenite
селина|celina
селитра|saltpetre
селма|selma
сельдерей|celery
сельдь|herring
сельсин|selsyn
сельский хозяйство|agriculture
сельский|rural
сельскохозяйственный техника|farm machinery
сельскохозяйственный|agricultural
сельтерская|seltzer
сельтерский|seltzer
сельхоз.|agric.
семантема|semanteme
семантика|semantics
семантический|semantic
семафор|semaphore
семга|lox
семейный доход|household income
семейный корпорация|close corporation
семейный человек|family man
семейный|household
семейство дисководов|disk-drive community
семейство конструкций|family of designs
семейство кривых|set of curves
семейство|family
семема|sememe
семенной|seed
семеричный|septenary
семестр|semester
семидесяти|seventy
семидесятый|seventiethseventy
семикратный|sevenfold
семинар|seminar
семинария|seminary
семиозис|[)semiosis
семиотика|semiotics
семиотический|semiotic
семиразрядный|septet
семисот|seven hundred
семистор|semistor
семитский|semitic
семиугольник|heptagon
семиугольный|heptagonal
семнадцатый|seventeenthseventeen
семнадцать|seventeen
семь|seven
семьдесят|seventy
семьсот|seven hundred
семья|family
семя|seed
семядоля|cotyledon
семяизвержение|ejaculation
семянка|achene
сенат|senate
сенатор|senator
сенаторский|senatorial
сенбернар|saint bernard
сен-дени|saint-denis
сенегал|senegal
сенека|seneca
сенной лихорадка|hay fever
сенной|hay
сено|hay
сеновал|lofts
сенокос|hayfield
сенсационный|sensational
сенсация|sensation
сенсор|sensor
сенсорный панель|touchpad
сенсорный|touch
сент-|st.
сентекс|centex
сентел|centel
сентенциальный|sentential
сентенциозный|sententious
сентер|center
сентерр|centerre
сентиментальность|sentimentality
сентиментальный|sentimental
сентирич|centereach
сентрал|central
сентралиа|centralia
сентро|centro
сентябрь|september
сентябрьский|september
сепаратизм|seperatism
сепбука|cepbuca
сепия|sepia
сепсис|sepsis
септа|septa
септет|septet
септический|septic
септрон|sceptron
сер|ser
сера|sulphur
сераль|seraglio
серафим|seraph
серб|serb
сербо-хорватский|serbo-croatian
сербский|serbian
сервер|server
сервировочный|serving
сервис|service
сервисный обслуживание|servicing
сервисный программа|software tools
сервисный|service
серво|servo
сервоинтегратор|servointegrator
сервомеханизм|servomechanism
сервомотор|servomotor
сервопривод|servosupply
серворегистратор|servorecorder
сервосистема|servosystem
сервоумножитель|servomultiplier
сервоуправление|servocontrol
сервоусилитель|servoamplifier
сервоэлемент|servo element
сергей|sergei
сердечно|heartily
сердечно-почечный|heart-kidney
сердечно-сосудистый|cardiovascular
сердечный привет|warmest regards to
сердечный|warmhearted
сердито|angrily
сердитый|angry
сердиться на|wbe angrywith
сердиться|get angry
сердце|heart
сердцебиение|heartbeat
сердцевидный|heart-shaped
сердцевина|core;pith
сердцеед|lady-killer
серебристый|silvery
серебро|silver
серебряный|silver
середина|medium
сережка|catkin
серенада|serenade
сержант|sergeant
серийный номер|serial number
серийный оборудование|production run equipment
серийный образец|production sample
серийный проектирование|batch design
серийный производство|production in series
серийный|serial
серия рабочих станций|workstation line
серия|series
серна|chamois
сернистый|sulphurous
сернобык|oryx
сернокислый аммоний|ammonium sulfate
сернокислый барий|barium sulfate
сернокислый натрий|sodium sulfate
серный кислота|sulfuric acid
серный|sulfuric
сероводород|hydrogen sulfide
серология|serology
серп|sickle
серпантин|streamer
серрито|cerrito
сертификат о качестве|wcertificate of quality
сертификат|certificate
сертификатный|certificate
серфинг|serfing
серый в яблоках|dapple-gray
серый вещество|gray matter
серый|gray
серьга|earring
серьезнейший недостаток|massive fault
серьезнейший|massive
серьезно|seriously
серьезность|gravity
серьезный|serious
сессия|session
сестра|sister
сетевой обеспечение|netware
сетевой розетка|elec)wall-plug
сетевой среда|network environment
сетевой|network
сетка|net
сетовать|bemoan
сетчатка|retina
сетчатый|netlike
сеть разводки заземления|mesh grounding
сеть с правом эксплуатации|aproved circuit
сеть связи|telecommunications
сеть|network
сеул|seoul
сечение|section
сеялка|seeder
сеятель|sower
сеять|sow
сжатие|compression
сжато|compressed;succinctly
сжатый|compressed
сжигание|incineration
сжигать|burn
сжижать|liquefy
сжиженный|liquefied
сжимаемость|compressibility
сжимать кулаки|wclench a fist
сжимать|compress
сжимающий|compressing
сжимающийся|compressible
си|c
сиамский|siamese
сиарси|searcy
сибарит|sybarite
сибирский язва|anthrax
сибирский|siberian
сибирь|siberia
сиброн|sybron
сива|siva
сиг|whitefish
сигара|cigar
сигарета|cigarette
сигаретный дым|cigarette smoke
сигаретный пепел|cigarette ashes
сигаретный|cigarette
сигарный|cigar
сигейт|seagate
сигна|signa
сигнал бедствия|distress call
сигнал включения|cut-off signal
сигнал запуска|seizing signal
сигнал начала блока|synch
сигнал отбоя|disablement signal
сигнал тревоги|warning signal
сигнал|signal
сигнализатор|annunciator
сигнализация|signalizing
сигнализировать|signalize
сигнальный звонок|call bell
сигнальный устройство|attention device
сигнальный|signal
сигнальщик|signalman
сигнатурный|signature
сиграм|seagram
сиделка|nursemaid
сидельников|sedelnikov
сидер|ceder
сидеть верхом на|straddle
сидеть прямо|wsit up straight
сидеть|sit
сидней|sidney
сидр|cider
сидячий забастовка|sit-down-strike
сидячий место|seating
сидячий|sitting
сидящий с умирающим|deathwatch
сидящий|sitting
сиена|sienna
сизаль|sisal
сизоватый яблоня|wild crab
сизый|blue-grey
сик|sic
сикамора|sycamore
сикокус|secaucus
сикэйн|secane
сила воли|will power
сила привычки|force of habit
сила сцепления|adhesive power
сила тока|amperage
сила ускорения|accelerating force
сила|power
силакога|sylacauga
силваниа|sylvania
силвер|silver
силикагель|silica gel
силикат|silicate
силикон|silicone
силиконовый|silicone
силлогизм|syllogism
силмар|sylmar
силовой агрегат|power unit
силовой|power
силок|snare
силос|silage
силосный башня|silo
силосный|silage
силуэт|silhouette
сильватрон|sylvatron
сильверадо|silverado
сильвия|sylvia
сильно больной|pretty sick
сильно вооруженный|heavily armed
сильно задолжавший|heavily indebted
сильно напряженный|pretty tense
сильно поврежденный|severely damaged
сильно|powerfully;heavily
сильносвязанный|strong-coupling
сильный влияние|deep influence
сильный выражение|strong language
сильный изменение|profound change
сильный простуда|bad cold
сильный связь|tight binding
сильный сторона|strong point
сильный|strong
сильф|sylph
симантек|symantec
симбиоз|symbiosis
симбионт|symbiont
символ в опции|wletter of option
символ запроса|enq
символ монархии|wtrappings of monarchy
символ прицела|aiming symbol
символ смены шрифта|fc
символ|symbol
символизировать|symbolize
символизирующий|symbolizing
символика|symbology
символически|symbolically
символический|symbolic
символов в секунду|cps
символьный соглашение|notational conventions
символьный|symbol
сименс|seimens
сими|simi
симмакс|cymmax
симметричный|symmetrical
симметрия|symmetry
симмс|simms
симон|simon
симпатический|sympathetic
симпатичный|nice
симпатия|liking
симплекс|simplex
симплексный|simplex
симпозиум|symposium
симпсон|simpson
симптоматический|symptomatic
симулировать болезнь|malinger
симулировать|simulate
симулянт|malignerer
симфонический поэма|tone poem
симфонический|symphonic
симфония|symphony
синагога|synagogue
синапс|synapse
сингапур|singapore
синдетический|syndetic
синди|cindy
синдикат|syndicate
синдром|syndrome
синдромотестируемый|syndrome-testable
синеглазый|blue-eyed
синекура|sinecure
синель|chenille
синергизм|synergism
синергический|synergic
синергия|synergy
синий щит|blue shield
синий|blue
синильный кислота|prussic acid
синица|tomtit
синкопа|syncope
синкопировать|syncopate
синод|synod
синоним|synonym
синонимический|synonymous
синонимичность|synonymy
синонимичный|synonymous
синонимия|synonymy
синоптик|weatherman
синоптика|synoptics
синоптический карта|weather map
синоптический|meteorological
