абажур|lampshade, shade
средиземноморский|Mediterranean
средневековый|medieval
среднее|average
средний|middle, middling, run-of-the-mill
средняя школа|comprehensive school
средоточие|focal point, hub
средства|capital goods, fund, livelihood, mass media, media, wherewithal
средство|mean, medium, vehicle
срез|cross section
срезанный|receding
сродни|akin
срок|term
срочно|urgently
срочный|urgent
срывать|frustrate, pluck, scupper
срываться|handle
ссадина|abrasion
ссора|argument
ссориться|argue, quarrel
ссужать|loan
ссылать|exile
ссылка|reference
ссыльный|exile
стабилизатор|fin, stabilizer
стабилизация|stabilization
стабилизироваться|stabilize
стабильность|stability
стабильный|steady
ставень|shutter
ставить|direct, enact, erect, install, pose, put, set, stage, stake, wager
ставка|closing price, rate, stake
ставки|odds
стадион|stadium
стадия|point
стадо|flock
стакан|glass
сталагмит|stalagmite
сталактит|stalactite
сталкиваться|collide
сталь|steel
стальной|steely
Стамбул|Istanbul
стандарт|standard
стандартизация|standardization
стандартизировать|standardize
стандартный|standard
становиться|become
станок|machine tool
станочник|machinist
станция|depot, station
стаптывать|scuff
старание|application
стараться|endeavour, try
старение|ageing
старик|chap, gaffer, old
старина|chap
старинный|ancient, period
старожил|old-timer
старомодный|fusty, old-fashioned, old-time, outdated
староста|prefect
старость|old age
старт|liftoff, start
стартер|starter
старуха|old
старшеклассники|senior
старшекурсники|senior
старшие|elder
старший|eldest, senior, superior
старшина|coxswain
старшинство|pecking order, seniority
старшой|gaffer
старый|old
старьёвщик|rag-and-bone man, scavenger
статистик|statistic
статистика|statistics
статистический|statistical
статная|statuesque
статус|status
статуэтка|statuette
статуя|statue
статья|article, paper, story
стая|flock, pack
ствол|barrel, trunk
стебель|stalk
стегнуть|twig
стёжка|quilting
стежок|stitch
стекать|drain
стекло|glass
стекловидный|vitreous
стекловолокно|fibreglass, glass fibre
стекольщик|glazier
стеллаж|shelving
стелька|insole
стена|wall
стенд|stand
стенографировать|shorthand
стенографист|shorthand typist, stenographer
стенография|shorthand, stenography
стены|battlements
степенный|sedate, staid
степень|degree
степлер|stapler
стерва|tartar
стервятник|vulture
стерео|stereo
стереопроигрыватель|stereo
стереосистема|stereo
стереоскопический|three-dimensional
стереть|blur
стержень|rod
стерилизация|sterilization
стерилизовать|sterilize
стерильный|sterile
стероид|steroid
стёртый|bald, blurred
стеснительность|shyness
стеснять|cramp
стесняться|shy
стесняющий|restrictive
стетоскоп|stethoscope
стечение|concourse
стигма|stigma
стилизованный|stylized
стилист|stylist
стиль|flair, idiom, stroke, style
стильный|nifty
стимул|impetus, inducement, stimulus
стимулирование|stimulation
стимулировать|induce, stimulate
стимулирующее|stimulant
стимулятор|stimulus
стимуляция|induction
стипендиат|scholar
стипендия|bursary, grant, maintenance grant, scholarship, stipend
стирать|efface, erase, launder, laundry, obliterate, wash, wipe, zap
стирка|laundry, wash, washing
стих|verse
стихийный|natural, spontaneous
стихия|element
стихотворение|poem, rhyme
стлать|lay
сто|hundred
стоик|stoic
стоимость проезда|fare
стоимость|book value, charge, cost, costofliving, expense, labour cost, unit cost
стоический|stoical
стойкий|permanent, persistent, resilient, stalwart, steadfast, tough
стойкость|fortitude, resilience, toughness
сток|outlet, plughole
Стокгольм|Stockholm
стол|table
столб|pole, post
столбняк|lockjaw, tetanus
столетие|centenary, centennial
столица|metropolis
столичный|metropolitan
столкновение|bump, collision
столовая|canteen, dining room, mess, refectory, soup kitchen
столпотворение|pandemonium
столяр|joiner
стоматология|dentistry
стонать|groan
стопа|ream
стопка|pile, sheaf
сторона|side
сторониться|eschew
сторонник|advocate, believer, exponent, follower, protagonist, supporter
сторонники|following
стоянка|parking, parking lot
стоять|stand
стоячий|stagnant
стоящий|worthwhile
страдальческий|anguished
страдание|misery, suffering
страдать|suffer
страдающий|insomniac, paraplegic, sufferer
страз|paste
страница|front page, page, side
странно|funnily, oddly, peculiarly, strangely
странность|oddity, peculiarity
странный|freak, freakish, queer, strange, weird
странствующий|itinerant
страны|Gulf States
Страсбург|Strasbourg
страстно|avidly
страстный|avid, passionate
страсть|passion
стратег|strategist
стратегический|strategic
стратегия|strategy
стратосфера|stratosphere
страус|ostrich
страх|fear
страхование|assurance, insurance, social insurance
страхователь|insured
страховать|insure
страховщик|insurer
страшить|daunt
страшиться|fearful
страшный|fearful, fierce, frightening, scary
стрекоза|dragonfly
стрекотать|whirr
стрела|arrow
Стрелец|Sagittarius
стрелка|arrow, pointer
стрелочник|signalman
стрельба|shooting
стрельбище|rifle range, shooting range
стрелять|shoot
стремглав|hotfoot
стремительно|apace, rapidly, swiftly
стремительность|rapidity, swiftness
стремительный|exponential, fast, rapid, swift
стремиться|endeavour, gravitate, Intent
стремление|anxiety, keenness
стремнина|rapids
стремя|stirrup
стремянка|stepladder
стресс|stress
стрессовый|stressful
стригунок|yearling
стрижка|haircut
стриптиз|striptease
стрихнин|strychnine
стричь|pare, shear
стричься|cut
строгий|austere, harsh, rigid, rigorous, strict, stringent, tight
строго|harshly, rigorously, strictly
строгость|austerity, harshness, rigour, strictness
строение|building, texture
строитель|builder
строительство|building, engineering
строить|build
стройный|slender, slim
стропило|rafter
строптивый|rebellious, stroppy
строфа|stanza, verse
стружки|shaving
струиться|trickle
струйка|wisp
структура|fabric, structure
структурный|structural
струп|scab
струсить|wimp
стручок|pod
струя|jet, spurt
стряхивать|flick
студeнт|student
студенческий|student
студия|studio, workshop
стук|bang, knock, knocking, patter, rap
стукач|grass
стул|motion
ступать|tread
ступень|stair, step, tread
ступенька|rung, stair, stepping stone
ступица|hub
ступка|mortar
ступор|stupor
стучать|thump
стыд|embarrassment, shame
стыдиться|ashamed
стыковка|linkup
стычка|run-in, skirmish
стюард|flight attendant, steward
стюардесса|hostess
стянуть|filch
суббота|Saturday
субконтинент|subcontinent
субподряд|subcontract
субподрядчик|subcontractor
субсидировать|subsidize
субсидия|grant
субтитр|subtitle
субтропический|subtropical
субъективный|subjective
сувенир|memento, souvenir
суверенитет|sovereignty
суглинок|loam
суд|law court
Судан|Sudan
суданец|Sudanese
судебный|forensic, judicial, legal
судить|adjudicate, judg(e)ment, judge, referee, try, umpire
судиться|sue
судно|bedpan, vessel
судовладелец|shipowner
судовождение|seamanship
судок|cruet
судорожный|jerky
судоходный|navigable
судоходство|shipping
судьба|destiny
судья|adjudicator, judge, justice, referee, scorer, umpire
суеверие|superstition
суеверный|superstitious
суета!|carry-on
суета|fuss
суетиться|bustle
суетливый|fussy
суетня|palaver
сужаться|taper
сужающийся|tapered
суждение|judg(e)ment
сук|bough
сука|bitch
сукно|baize
султан|sultan
сульфат|sulphate
сума|tote bag
сумасбродный|erratic, extravagant, madcap
сумасшедшая|madwoman
сумасшедший|crazy, lunatic, madman, sky-high
суматоха|carry-on, commotion, fuss, hurly-burly, hustle
суматошный|frantic, hectic
Суматра|Sumatra
сумерки|dusk, nightfall, twilight
сумка|bag, bagful, postbag, pouch
сумма|sum
суммировать|summarize
сумо|sumo
сумочка|handbag, pocketbook
сумрачный|sulky
сумчатое|marsupial
сумчатый|marsupial
сундук|chest
суп|soup
суперзвезда|superstar
суперклей|superglue
супермаркет|supermarket
супермодeль|supermodel
суперобложка|dust jacket, jacket
супертанкер|supertanker
супница|tureen
супруг|partner, spouse
супруги|couple
супружеский|conjugal, marital, married
супружество|matrimony, wedlock
сургуч|sealing wax, wax
сурдинка|mute
сурово|hardly
суровость|harshness
суровый|austere, dour, hard, harsh
сустав|joint
сутенёр|pimp
сутки|day
сутулиться|slouch, stoop
сутулый|hunched, round-shouldered
суть|crux, gist, heart, issue, kernel, pith, substance
суфле|souffle
суфлёр|prompter
суфражистка|suffragette
суффикс|suffix
сухожилие|sinew, tendon
сухой|arid
сухость|aridity, dryness
сучковатый|gnarled
суша|land
сушёный|desiccated
сушилка|dryer, plate rack
сушка|draining board
существенный|all-important, salient
существительное|neuter, noun
существо|being
существование|being, existence, subsistence
существовать|exist, existence, obtain
существующий|existing
сущий|sheer
сущность|entity, essence
сфабрикованный|trumped-up
сфера|realm, sphere
сфинкс|sphinx
схватка|bout, tussle
схватывание|grip
схема|diagram, formula, scheme
схематический|schematic
сходиться|merge, tally
сходство|likeness, resemblance, similarity
сцена|scene, stage
сценарий|scenario, screenplay, script
сценарист|scriptwriter
сцепление|coupling, grip
сцепляться|interlock
счастливый|blissful, fortunate, happy, lucky
счастье|happiness
счёт|account, bill, score
счётчик|clock, meter, mileometer, slot meter
счёты|abacus
считать|reckon, regard
сшиватель|stapler
съедобный|eatable
съёженный|shrunken
съёживаться|cower, cringe
съёмки|shooting
съёмный|detachable, removable
съёмщик|lessee, tenant
сыворотка|serum, whey
сын|son
сынок|boy, sonny
сыпь|rash
сыр|cheese
сырой|damp, dank, raw, soggy, wet
сырость|dampness, wetness
сырьё|raw material
сыщик|sleuth
сюда|here
сюжет|plot
сюита|suite
сюрреализм|surrealism
сюрреалистический|surrealist
табак|tobacco
таблетка|pill, tablet
табличка|nameplate
табло|scoreboard
табльдот|table d'hote
табу|taboo
табулятор|tabulator
табуретка|stool
таверна|tavern
таджик|Tajik
Таджикистан|Tajikistan
таз|bowl, hand basin, pelvis
Таиланд|Thailand
таиландец|Thai
таинственно|mysteriously
таинственный|mysterious, weird
таинство|sacrament
Таити|Tahiti
таить|nurse
таиться|lurk
Тайвань|Taiwan
тайком|sly
таймень|salmon trout
таймер|timer
тайна|mystery
тайник|recess
тайно|secretly
тайный|stealthy, undercover
тайфун|typhoon
такелаж|rigging
также|also, likewise, too
такой|such
такса|dachshund
такси|cab, minicab, taxi
таксист|cabbie
такт|beat
тактик|tactician
тактика|tactics
тактический|tactical
тактично|tactfully
тактичность|discretion
тактичный|tactful
талант|genius, prodigy, talent
талантливый|accomplished, talented
талидомид|thalidomide
талисман|mascot, talisman
талия|waist
Таллин|Tallin(n)
тальк|talc
там|there
тамада|toastmaster
таможенник|customs officer
таможня|customs
тампон|tampon
танго|tango
тандем|tandem
танец|dance, dancing
Танжер|Tangier
танзаниец|Tanzanian
Танзания|Tanzania
танин|tannin
танк|tank
танкер|oil tanker, tanker
танцевать|dance
тапиока|tapioca
тапочка|slipper
тара|empties
тарабарщина|gibberish, mumbo jumbo
таракан|cockroach
таран|battering ram
таранить|ram
тарантул|tarantula
тараторить|gabble
тарелка|plate, plateful
тарелки|cymbals, Frisbee
тариф|piece rate, tariff
Тасмания|Tasmania
татуировать|tattoo
татуировка|tattoo
тахограф|tachograph
тахта|divan
тачка|barrow, wheelbarrow
Ташкент|Tashkent
тащить|swipe
тащиться|lag, lumber, plod
таять|thaw
Тбилиси|Tbilisi
твердеть|harden
твёрдо|firmly, steadily
твёрдость|firmness, solidity
твёрдый|buoyant, firm, fixed, hard, resolute, solid, steadfast, steady, sure
твидовый|tweed
твой|your, yours
творог|cottagecheese, curd cheese
творчество|creativity
те|those
театр|theatre
театрал|playgoer, theatregoer
театральный|theatrical
Тегеран|Teheran
тезаурус|thesaurus
тезис|thesis
тёзка|namesake
текст|lyrics, text
текстиль|textiles
текучесть|turnover
текучий|fluid
текущий|running
телевещание|broadcasting
телевидение|television, TV
телевизор|receiver, television, television set
телеграмма|telegram
телеграф|telegraph
телеграфический|telegraphic
тележка|trolley
тележурнал|magazine
тележурналист|broadcaster
телекоммуникации|telecommunications
телемост|linkup
телепатический|telepathic
телепатия|telepathy
телепроповедник|televangelist
телескопический|telescopic
телестанция|broadcasting station
телетайп|teleprinter
телефонист|operator, switchboard operator, telephone operator, telephonist
телефотообъектив|telephoto
Телец|Taurus
телик|telly
тёлка|heifer
тело|body, flesh
телосложение|physique
телохранитель|bodyguard
тельце|corpuscle
телятина|veal
тема|subject, subject matter, theme, topic
Темза|Thames
темнеет|dark
темнеть|darken
темно|dark
темнота|darkness
тёмный|seamy, shady
темп|rate, tempo
темперамент|temperament
темпераментный|temperamental
температура|temperature
тенденция|tendency, trend
Тенерифе|Tenerife
тени|eye shadow
тенистый|shadowy, shady
теннис|lawn tennis, tennis
теннисист|tennis player
тенор|tenor
тент|awning, parasol
тень|flicker, shade, shadow
теорема|theorem
теоретизировать|theorize
теоретический|theoretical
теория|theory
теперь|now
теплица|greenhouse
тепло|heat, warmly, warmth
тепловатый|tepid
теплоизоляция|lagging
теплокровный|warm-blooded
теплоулавливающий|heat-seeking
тёплый|warm
терапевт|practitioner
терапевтический|therapeutic(al)
терапия|therapy
тереть|rub
терзание|scruple
терзать|gnaw, maul
терилен|Terylene
тёрка|grater
термин|term
терминал|terminal
терминология|terminology
термит|termite
термический|thermal
термодинамика|thermodynamics
термос|Thermos, vacuum flask
термостат|thermostat
термоядерный|thermonuclear
тернослива|damson
терпеливо|patiently
терпеливый|patient
терпение|patience
терпеть|tolerate
терпимость|tolerance, toleration
терпимый|bearable, endurable, permissive, tolerable, tolerant
терракота|terracotta
терракотовый|terracotta
терраса|terrace
террасный|terraced
территория|precinct, territory
терроризировать|terrorize
терроризм|terrorism
террорист|bomber, terrorist
терьер|terrier
терять|forfeit, lose
теряться|loss
теснота|overcrowding
тесный|cramped, skimpy
тесто|pastry
тестостерон|testosterone
тесть|father-in-law
тесьма|braid
тетрадь|exercise book, notebook
тётя|aunt
Тефлон|Teflon
Техас|Texas
техник|technician, technologist
техника|technique, technology
технический|technical, technological
технократ|technocrat
технолог|technologist
технология|technology
течение|flow, stream
течь|flow, leak
тёща|mother-in-law
тиара|tiara
Тибет|Tibet
тибетец|Tibetan
Тибр|Tiber
тигр|tiger
тигрица|tigress
тик|teak, tic
тиканье|tick
тильда|tilde
тимьян|thyme
тип|type
типичный|archetypal, typical
типография|printer, typography
тир|rifle range
тирада|homily, tirade
Тирана|Tirana
тиролец|Tyrolean
Тироль|Tyrol
тис|yew
тиски|vice
титан|titanium
титул|title
тихий|hushed, low, placid, quiet, still
тихо|low, quietly, softly
тишина|quiet, quietness
ткани|dry goods
ткань|cloth, fabric, tissue
ткать|weave
ткач|weaver
ткачество|weaving
тлеть|smoulder
тля|aphid, greenfly
тмин|caraway, cumin
товарищ|fellow
товарищества|community spirit
товарищество|comradeship, partnership
товары|good, merchandise, wares
тога|toga
тогда|whereas
Того|Togo
Токио|Tokyo
токсикомания|glue-sniffing, substance abuse
токсин|toxin
токсичный|toxic
толика|modicum
толкать|force, heave, propel, shove, thrust
толкаться|jostle
толкование|reading.
толковый|smart
толочь|pound
толочься|mill, swarm
толпа|mob
толпиться|crowd
толпы|drove, shoal
толстеть|become
толсто|thickly
толстокожий|thick-skinned
толстый|bulbous, podgy, thick
толстяк|fatty
толчок|aftershock, bump, fillip, jolt, poke, push, shock, thrust, tremor
толщина|fatness, thickness
только|just, merely, only, scarcely, solely
том|tome, volume
томиться|languish
томный|languid
тон|tone
тональность|key
тональный|tonal
Тонга|Tonga
тонзиллит|tonsillitis
тоник|tonic
тоника|keynote, tonic
тонкий|fine, slight, tapering, thin
тонко|delicately, finely, thinly
тонкости|niceties
тонкость|delicacy, finesse, subtlety, thinness
тонна|metric ton, tonne
тоннаж|tonnage
тоннель|underpass
тонны|ton
тонуть|drown, sink
тонущий|sinking
тончайший|wafer-thin
топаз|topaz
топить|melt, sink
топливо|fossil fuel, fuel
топограф|surveyor
топографическая|survey
топография|topography
тополь|poplar
топор|poleaxe
топорик|cleaver, hatchet
топотание|patter
топотать|patter
торг|bargaining
торги|sale
торговать|peddle
торговаться|bargain, haggle
торговец|merchandiser, trader
торговля|haggling, trade, trading
торговый|mercantile
тореадор|bullfighter
торжественный|solemn
торжество|triumph
торжествовать|triumph
торжествующе|triumphantly
торжествующий|triumphant
тори|Tory
тормозить|brake
торопиться|haste, hasten
торпеда|torpedo
торт|gateau
торф|peat
торшер|floor lamp, standard lamp
тоска|longing
Тоскань|Tuscany
тоскливый|dreary, wistful
тост|toast
тостер|toaster
тот|that
тотализатор|pool
тоталитарный|totalitarian
тотчас|forthwith
точилка|pencil sharpener, sharpener
точило|sharpener
точить|grind, hone, sharpen, whet
точка|decimal point, full stop, period
точки|common ground
точно|accurately, aptly, exactly, precisely, promptly, strictly
точность|accuracy, fidelity, precision
точный|accurate, precise, strict, true
тошнота|nausea, queasiness
тошнотворный|bilious, nauseating, nauseous, sickly
тощий|scraggy, scrawny, skinny
трава|grass, herb
травинка|blade
травить|bully, etch, molest
травма|injury, trauma
травматический|traumatic
травмированный|scarred
травмировать|scar, traumatize
травянистый|grassy
трагедия|tragedy
трагически|tragically
трагический|tragic
традиционно|traditionally
традиционный|traditional
традиция|tradition
траектория|trajectory
трактат|tract
трактир|inn
трактор|tractor
трамвай|streetcar, tram
трамплин|springboard, trampoline
транзистор|transistor
транзитом|transit
транквилизатор|tranquillizer
транс|trance
трансатлантический|transatlantic
трансвестит|transvestite
трансепт|transept
транскрипция|transcription
транслировать|relay
транслироваться|broadcast
трансляция|public-address system
транспарант|banner
транспорт|transport, transportation
транспортир|protractor
транссексуал|transsexual
трансформатор|transformer
трап|companionway, gangplank, gangway
трапеза|repast
трапеция|trapeze
трассат|drawee
тратить|inroads, spend
тратиться|expense
траулер|trawler
траур|mourning
траурный|funereal
трахать|fuck, screw
трахаться|bonk, lay
трахея|trachea, windpipe
трахнуться|shag
требование|demand, requirement, specification
требовать|demand, require
требуха|tripe
тревога|alarm, anxiety
тревожить|alarm, perturb, unnerve
тревожный|alarming, anxious, disquieting, disturbing, troubling, uncomfortable, uneasy, unsettling, worrying
трезвенник|teetotaller
трезвость|sobriety
трезвый|hard-nosed, sober
трек|racetrack
трель|trill, warble
тренер|trainer
трение|friction
тренированный|trained
тренировать|coach, train
тренироваться|training
тренировка|training
тренога|tripod
трёп|guff
трепаться|natter, prattle, waffle
трепет|trepidation
трепетание|flicker
трепетать|quiver
треск|snap
трескa|cod
треска|haddock
трескаться|flake
треснуть|poleaxe
трест|trust company
третий|tertiary, third
третичный|tertiary
треть|third
третьесортный|third-rate
треугольник|triangle
треугольный|triangular
трефы|club
трёхмерный|three-dimensional
трёхслойный|three-ply
трёхсторонний|tripartite
трещать|splutter, whirr
трещина|fissure, hairline fracture, rift, split
трещотка|chatterbox
три|three
трибуна|platform, rostrum, stand
трибунал|tribunal
трибуны|terrace
тривиальности|trivia
тривиальный|trivial
тригонометрия|trigonometry
тридцатый|thirtieth
тридцать|thirty
тризм|lockjaw
трико|leotard
трикотаж|knitwear
триктрак|backgammon
триллер|thriller
трилогия|trilogy
тринадцатый|thirteenth
тринадцать|thirteen
трио|trio
Триполи|Tripoli
тритон|newt
триумфальный|triumphal
трогательный|appealing, heartwarming, moving, touching
трогать|feel, finger, interfere, touch
Троица|trinity, Whitsun
тройка|trinity, trio
тройной|treble
тройняшки|triplets
троллейбус|trolley
тромбоз|thrombosis
тромбон|trombone
трон|throne
тронутый|dotty, touched
тропа|pathway, track
тропики|tropic
тропинка|lane, towpath
тропический|tropical
тростник|cane, reed
трость|stick
тротил|TNT
тротуар|pavement, sidewalk
трофеи|booty, spoils
трофей|trophy
труба|chimney, funnel, pipe, trumpet
трубка|pipe, receiver, snorkel, tube, tubing
трубопровод|pipeline
трубочист|chimney sweep
трубчатый|tubular
труд|labour
трудновоспитуемый|maladjusted
трудновыполнимый|fiddly
трудноизлечимый|intractable
трудноконтролируемый|unmanageable
трудноразрешимый|intractable
трудности|hardship, rigour
трудность|difficulty
трудный|exacting, hard
трудоёмкий|laborious, labour-intensive
трудолюбивый|industrious
трудолюбие|industry
трудостраиваться|employment
трудотерапия|occupational therapy
труп|corpse
труппа|troupe
трус|coward
трусики|brief, knickers, panties
трусить|cold
трусливый|cowardly, craven
трусость|cowardice
трусы|brief, pants, underpants, undershorts
трущоба|slum
трущобы|shanty town
трюк|gimmick, stunt
трюкач|escape artist
трюкачество|gamesmanship
трюм|hold
трюфель|truffle
тряпка|rag
трясина|mire, morass, quagmire
трясти|shake
трястись|wobble
тряхнуть|jolt
туалет|john, lavatory, loo, rest room, water closet
туалетный|toilet
туба|tuba
туберкулёз|tuberculosis
тугой|stiff, taut, tight
туда|there
туз|ace
туземец|tribesman
туловище|body, trunk
туман|fog, mist
туманность|no-man's-land
туманный|foggy, hazy, misty, nebulous
тумба|bollard
тунец|tuna, tunny
туника|tunic
Тунис|Tunis
тунисец|Tunisian
туннель|tunnel, underpass
тупик|blind alley, cul-de-sac, dead end, deadlock, impasse, puffin, stalemate
тупить|blunt
тупица|duffer, dunce, numbskull
тупой|blunt, crass, gormless, obtuse
тупоумный|dim-witted
тур|round
турбина|turbine, turbo
туризм|tourism
Турин|Turin
турист|hiker, sightseer, tripper, walker
туристский|tourist
туркмен|Turkmen
Туркмения|Turkmenia
туркменский|Turkmen
турне|circuit
турникет|turnstile
турок|Turk
Турция|Turkey
тусклый|lacklustre
тут|here
туфли|high heels
туфля|shoe
тухлый|addled, rancid, rotten
тучный|obese, overweight
туша|carcass
тушить|braise, extinguish, smother, snuff, stew
тушиться|stew
тушь|mascara
тщательно|studiously, thoroughly
тщательность|thoroughness
тщательный|meticulous, searching, studious, thorough
тщеславие|vanity
тщеславный|vain
тщетно|vainly
тщетность|futility
тщетный|fond, futile, vain
ты|you
тыкать|poke, prod
тыква|gourd, pumpkin, squash
тысяча|grand, thousand
тысячелетие|millennium
тысяченожка|millipede
тысячный|thousandth
тычинка|stamen
тычок|prod
тэтчеризм|Thatcherism
тюбик|tube
тюк|bale
тюлень|seal
тюль|net
тюльпан|tulip
тюремный|prison
тюремщик|warder
тюрьма|pen, penitentiary
тявкать|yap
тяга|traction
тягач|traction engine
тяжба|litigation, tug of war
тяжело|heavily
тяжелобольной|gravely
тяжеловесный|ponderous
тяжёлый|arduous, bad, grim, hard, heavy, stodgy, tough, weighty
тяжесть|severity
тяжкий|shattering
тянуть|pull, shillyshally, tug
тянуться|languish
у|beside
уogourt|yog(h)urt
убегать|escape
убедительно|convincingly, emphatically
убедительность|validity
убедительный|convincing, emphatic, forcible, persuasive, plausible, potent, valid
убежать|getaway
убеждать|persuade, satisfy
убеждение|belief, persuasion
убеждённый|confirmed
убежище|asylum, haven, hideaway, refuge, retreat, sanctuary
убивать|kill, murder
убийственный|murderous
убийство|homicide, killing, shooting
убийца|killer, murderer, murderess
убирать|remove, retract, stow
убирающийся|retractable
убитый|prostrate
ублажать|humour
ублюдок|bastard
убогий|poky, squalid
убогость|meanness, squalor
убой|slaughter
уборка|cleaning
уборная|washroom
уборщица|charlady, cleaning lady
убывать|subside, wane
убыток|wastage
Уважаемый|honourable
уважаемый|reputable
уважать|respect
уведомление|notification
увековечивать|immortalize, perpetuate
увеличение|enlargement, expansion, gain, magnification
увеличенный|enlarged
увеличивать|add, enhance, increase, large, magnify
увеличиваться|expand, grow
увенчиваться|cap
уверенность|assurance, certainty, confidence, self-confidence
уверенный|assured, self-assertive
увёртливый|shifty
увертюра|overture
увечить|mutilate
увечье|mutilation
увещевать|harangue
увидеть|catch
увлажнитель|humidifier
увлажнять|moisten, moisturize
увлекательный|absorbing, enthralling
увлекаться|carry, infatuated
увлечение|infatuation
увлеченно|keenly
увлечённость|absorption, keenness
увлечённый|enthralled, infatuated
уволенный|redundant
увольнение|dismissal, furlough, lay-off, redundancy, sacking
увольняться|quit
увы|alas
Уганда|Uganda
угандец|Ugandan
угасать|ebb, fade, fizzle out, recede
углевод|carbohydrate
углерод|carbon
углерода|carbon dioxide
угловатый|angular
углубление|indentation
углубляться|deepen
угнетательский|oppressive
угнетать|oppress
угнетение|oppression
угождать|please
угол|angle, corner
уголовник|jailbird
уголь|charcoal, coal
угольник|set square
угольщик|coalman
угон|hijack
угонщик|hijacker
угонять|rustle
угорь|blackhead, eel
угри|acne
угробить|murder
угрожать|menace, threaten
угрожающий|menacing, threatening
угроза|menace, threat
угрюмый|broody, gaunt, moody, morose, sullen
удаление|extraction, removal
удалой|swashbuckling
удалять|extract, remove
удаляться|retire, stalk
удар|hit, impact, kick, punch, shot, stab, strike, stroke, thump
ударение|stress
ударять|bounce, hit, knock, strike
удача|luck
удачливый|lucky
удачный|felicitous, happy
удваиваться|double
удержание|retention
удерживать|deter, withhold
удерживаться|linger
удивительно|surprisingly, wonderfully
удивительный|wonderful
удивлять|surprise
удивляться|wonder
удила|bit
удирать|decamp
удлинённый|elongated
удлинитель|extension
удлиняться|lengthen
удобно|comfortably
удобноекресло|easy chair
удобный|convenient, handy, manageable
удобоваримый|digestible
удобрение|fertilizer
удобрять|fertilize
удобства|amenities, comfort, creature comforts
удобство|amenity, convenience
удовлетворение|fulfilment, gratification, satisfaction
удовлетворённость|contentment
удовлетворительно|satisfactorily
удовлетворительный|satisfactory
удовлетворять|accede, content, grant, gratify, satisfy
удовольствие|amusement, enjoyment, pleasure
удостаивать|grace
удочерение|adoption
удочерять|adopt
удочка|fishing rod, rod
удручённый|crestfallen, dispirited
удушать|gas, suffocate
удушение|strangulation
удушливый|stifling
удушье|suffocation
уединение|privacy, seclusion
уединённый|lonely, private, secluded, solitary
уезжать|leave
уж|grass snake
ужас|horror, terror
ужасать|appal, horrify, terrify
ужасаться|appal
ужасающий|appalling, fearful, horrendous, horrifying, terrifying
ужасно|awfully, bitterly, fearfully, frightfully, terribly
ужасный|appalling, atrocious, dreadful, ferocious, grisly, horrible, horrific, terrible
ужасы|horror
уже|already
ужин|meal, supper, teatime
ужинать|supper
узаконивать|legalize, legitimize
узбек|Uzbek
Узбекистан|Uzbekistan
узбекский|Uzbek
узел|bun, bundle, junction, kink, knot
узкий|narrow, tight
узко|narrowly
узкоколейный|narrow-gauge
узловатый|knobbly
узнаваемый|recognizable
узнавание|recognition
узнавать|identify, recognize
узник|detainee
узор|pattern
узорчатый|patterned
узость|narrowness
узреть|behold
узурпировать|usurp
узы|bond
уйма|mass
указ|edict
указания|direction, instruction
указатель|gauge, index, indicator
указательный|demonstrative
указка|pointer
указывать|indicate, mark
уклон|gradient, slant, slope
уклонение|avoidance, evasion
уклончивость|equivocation
уклончивый|evasive, indirect, noncommittal, vague
уключина|rowlock
укол|prick, shot, stab, twinge
уколоть|prick
укорачивать|shorten
укоренившийся|deep-seated, entrenched
укореняться|root
укоризненный|reproachful
украдкой|furtively, stealth
Украина|Ukraine
украинец|Ukrainian
украшать|adorn, beautify, decorate, festoon, garnish, grace, titivate
украшение|adornment, ornament, ornamentation
украшения|fancy goods, finery
украшенный|embellish
укрепление|fortification, reinforcement
укреплять|consolidate, fortify, reinforce, strengthen
укрывать|harbour, shelter
укрываться|cover
укрытие|hide-out, hiding place, shelter
уксус|vinegar
укус|bite, nip, sting
улаживать|settle
улей|hive
улизнуть|scarce
улитка|snail
улица|avenue, street
улов|haul
уловка|dodge, expedient, gimmick, ploy, subterfuge
уловки|wiles
улочка|byway
улучшать|ameliorate, enhance
улучшаться|brighten, improve, recover
улучшение|improvement
улыбаться|grin, smile
улыбающийся|smiling
ультиматум|ultimatum
ультразвук|ultrasound
ультрасовременный|state of the art
ультрафиолетовый|ultraviolet
улюлюканье|hoot, jeers
ум|head, intelligence, mind
умалять|detract
умело|ably
умелый|able, expert, practical, proficient
умение|accomplishment
уменьшать|ease, relieve, whittle
уменьшаться|lessen, small
уменьшающийся|decreasing
уменьшение|decrease
умеренно|moderately
умеренность|moderation
умеренный|middle-of-the-road, moderate, temperate, wet
умерший|departed
уместно|aptly
уместность|relevance
уместный|appropriate, pertinent
уметь|know
умирать|die
умиротворение|appeasement
умиротворять|appease, pacify, placate
умляут|umlaut
умно|intelligently
умножение|multiplication
умный|intelligent
умолять|implore
умоляющий|appealing
умопомрачение|brainstorm
уморительный|hysterical
умственно|mentally
умственный|mental
умчаться|dart
умывать|wash
умышленный|wilful
универмаг|store
универсал|all-rounder
универсальность|versatility
универсальный|universal, versatile
университетский|campus; university
унижать|cheapen, humiliate
унижаться|abase, debase, demean
унижение|humiliation, indignity
униженный|abject
унизительный|degrading, humiliating
уникальный|unique
унитаз|toilet, toilet bowl
уничижительный|pejorative
